timestamp,ask_price_0,ask_vol_0,bid_price_0,bid_vol_0,ask_price_1,ask_vol_1,bid_price_1,bid_vol_1,ask_price_2,ask_vol_2,bid_price_2,bid_vol_2,ask_price_3,ask_vol_3,bid_price_3,bid_vol_3,ask_price_4,ask_vol_4,bid_price_4,bid_vol_4,ask_price_5,ask_vol_5,bid_price_5,bid_vol_5,ask_price_6,ask_vol_6,bid_price_6,bid_vol_6,ask_price_7,ask_vol_7,bid_price_7,bid_vol_7,ask_price_8,ask_vol_8,bid_price_8,bid_vol_8,ask_price_9,ask_vol_9,bid_price_9,bid_vol_9
1777502577164,75934.0,1.68799,75933.99,0.29702,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502577264,75934.0,1.68799,75933.99,0.29702,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502577364,75934.0,2.08799,75933.99,0.24444,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502577467,75934.0,2.08799,75933.99,0.24444,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502577564,75934.0,2.08799,75933.99,0.24444,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00008,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502577664,75934.0,2.08141,75933.99,0.24444,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.00666,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502577764,75934.0,2.08141,75933.99,0.24444,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.0068,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502577864,75934.0,2.08141,75933.99,0.24444,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.0068,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502577964,75934.0,2.08141,75933.99,0.24444,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.0068,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
1777502578064,75934.0,2.08141,75933.99,0.24444,75934.01,0.00022,75933.98,0.00071,75934.05,0.049,75933.16,0.00007,75934.22,0.04189,75933.15,0.00702,75934.47,0.03694,75933.02,0.00353,75934.6,0.0068,75933.01,0.00313,75934.61,1.51654,75932.81,0.00014,75934.63,0.07625,75932.8,0.00007,75934.75,0.00007,75932.37,0.00022,75934.76,0.00007,75932.36,0.07287
